"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","1970",5.30190394201014,
"AUS","HHDI","NET","AGRWTH","A","1971",4.22181940204861,
"AUS","HHDI","NET","AGRWTH","A","1972",7.14352206475817,
"AUS","HHDI","NET","AGRWTH","A","1973",8.1035602758018,
"AUS","HHDI","NET","AGRWTH","A","1974",4.27953101361153,
"AUS","HHDI","NET","AGRWTH","A","1975",0.991333938363038,
"AUS","HHDI","NET","AGRWTH","A","1976",3.21933694509042,
"AUS","HHDI","NET","AGRWTH","A","1977",1.03062343056272,
"AUS","HHDI","NET","AGRWTH","A","1978",3.29487555988549,
"AUS","HHDI","NET","AGRWTH","A","1979",0.646679043969496,
"AUS","HHDI","NET","AGRWTH","A","1980",3.6145711042174,
"AUS","HHDI","NET","AGRWTH","A","1981",4.63684895737713,
"AUS","HHDI","NET","AGRWTH","A","1982",-0.332056687948668,
"AUS","HHDI","NET","AGRWTH","A","1983",3.68428628445288,
"AUS","HHDI","NET","AGRWTH","A","1984",2.35438664871513,
"AUS","HHDI","NET","AGRWTH","A","1985",3.11919235965572,
"AUS","HHDI","NET","AGRWTH","A","1986",-0.546002525616984,
"AUS","HHDI","NET","AGRWTH","A","1987",1.97926337293181,
"AUS","HHDI","NET","AGRWTH","A","1988",5.14790817336293,
"AUS","HHDI","NET","AGRWTH","A","1989",4.14761355165728,
"AUS","HHDI","NET","AGRWTH","A","1990",0.722754843954811,
"AUS","HHDI","NET","AGRWTH","A","1991",0.683594345736684,
"AUS","HHDI","NET","AGRWTH","A","1992",1.92393910870921,
"AUS","HHDI","NET","AGRWTH","A","1993",1.84547757392101,
"AUS","HHDI","NET","AGRWTH","A","1994",3.78589002268834,
"AUS","HHDI","NET","AGRWTH","A","1995",3.72037790474127,
"AUS","HHDI","NET","AGRWTH","A","1996",3.98306613133268,
"AUS","HHDI","NET","AGRWTH","A","1997",2.51708011612882,
"AUS","HHDI","NET","AGRWTH","A","1998",4.02667480690114,
"AUS","HHDI","NET","AGRWTH","A","1999",3.84095032219287,
"AUS","HHDI","NET","AGRWTH","A","2000",3.76676928575312,
"AUS","HHDI","NET","AGRWTH","A","2001",4.36473800744108,
"AUS","HHDI","NET","AGRWTH","A","2002",0.020744074463531,
"AUS","HHDI","NET","AGRWTH","A","2003",6.05718921501829,
"AUS","HHDI","NET","AGRWTH","A","2004",5.52651644374183,
"AUS","HHDI","NET","AGRWTH","A","2005",2.35080835503793,
"AUS","HHDI","NET","AGRWTH","A","2006",5.16412180182609,
"AUS","HHDI","NET","AGRWTH","A","2007",6.34634299348022,
"AUS","HHDI","NET","AGRWTH","A","2008",7.24670478531555,
"AUS","HHDI","NET","AGRWTH","A","2009",1.04563297682821,
"AUS","HHDI","NET","AGRWTH","A","2010",5.55096931514386,
"AUS","HHDI","NET","AGRWTH","A","2011",3.03099128790245,
"AUS","HHDI","NET","AGRWTH","A","2012",0.337937949712897,
"AUS","HHDI","NET","AGRWTH","A","2013",2.63363683022184,
"AUS","HHDI","NET","AGRWTH","A","2014",2.62040464530081,
"AUS","HHDI","NET","AGRWTH","A","2015",1.33120018799274,
"AUS","HHDI","NET","AGRWTH","A","2016",2.0610304016217,
"AUS","HHDI","NET","AGRWTH","A","2017",2.08953445238167,
"AUS","HHDI","NET","AGRWTH","A","2018",1.98183178932489,
"AUS","HHDI","NET","AGRWTH","A","2019",4.38941153516061,
"AUT","HHDI","NET","AGRWTH","A","1996",-0.000735332990642,
"AUT","HHDI","NET","AGRWTH","A","1997",-0.274992905431999,
"AUT","HHDI","NET","AGRWTH","A","1998",2.95981402053368,
"AUT","HHDI","NET","AGRWTH","A","1999",3.88788892853768,
"AUT","HHDI","NET","AGRWTH","A","2000",1.52366594520282,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.439763064683821,
"AUT","HHDI","NET","AGRWTH","A","2002",1.36914231473695,
"AUT","HHDI","NET","AGRWTH","A","2003",1.9372223043446,
"AUT","HHDI","NET","AGRWTH","A","2004",1.7493100758086,
"AUT","HHDI","NET","AGRWTH","A","2005",3.83448870742335,
"AUT","HHDI","NET","AGRWTH","A","2006",2.82190020842188,
"AUT","HHDI","NET","AGRWTH","A","2007",2.37755979657941,
"AUT","HHDI","NET","AGRWTH","A","2008",1.2454299206401,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.033916925784308,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.686218359169389,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.336051866471293,
"AUT","HHDI","NET","AGRWTH","A","2012",1.39532382885761,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.38400612689104,
"AUT","HHDI","NET","AGRWTH","A","2014",0.834532073045189,
"AUT","HHDI","NET","AGRWTH","A","2015",-0.049756948076621,
"AUT","HHDI","NET","AGRWTH","A","2016",2.59618608540711,
"AUT","HHDI","NET","AGRWTH","A","2017",1.49567499748282,
"AUT","HHDI","NET","AGRWTH","A","2018",1.37966834407042,
"AUT","HHDI","NET","AGRWTH","A","2019",1.47399391680695,
"BEL","HHDI","NET","AGRWTH","A","1996",0.193770116594326,
"BEL","HHDI","NET","AGRWTH","A","1997",0.76666551401061,
"BEL","HHDI","NET","AGRWTH","A","1998",2.14750461375713,
"BEL","HHDI","NET","AGRWTH","A","1999",2.25112043440897,
"BEL","HHDI","NET","AGRWTH","A","2000",1.42630118031981,
"BEL","HHDI","NET","AGRWTH","A","2001",2.32117567569652,
"BEL","HHDI","NET","AGRWTH","A","2002",0.603985683206353,
