"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHEXP","TOT","MLN_USD","A","1960",14526.084,
"AUS","HHEXP","TOT","MLN_USD","A","1961",14964.552,
"AUS","HHEXP","TOT","MLN_USD","A","1962",16296.754,
"AUS","HHEXP","TOT","MLN_USD","A","1963",17437.53,
"AUS","HHEXP","TOT","MLN_USD","A","1964",18637.78,
"AUS","HHEXP","TOT","MLN_USD","A","1965",19922.224,
"AUS","HHEXP","TOT","MLN_USD","A","1966",21453.146,
"AUS","HHEXP","TOT","MLN_USD","A","1967",23289.078,
"AUS","HHEXP","TOT","MLN_USD","A","1968",25626.49,
"AUS","HHEXP","TOT","MLN_USD","A","1969",28224.045,
"AUS","HHEXP","TOT","MLN_USD","A","1970",32009.647,
"AUS","HHEXP","TOT","MLN_USD","A","1971",34975.422,
"AUS","HHEXP","TOT","MLN_USD","A","1972",37946.815,
"AUS","HHEXP","TOT","MLN_USD","A","1973",42132.926,
"AUS","HHEXP","TOT","MLN_USD","A","1974",48183.804,
"AUS","HHEXP","TOT","MLN_USD","A","1975",53964.439,
"AUS","HHEXP","TOT","MLN_USD","A","1976",59066.679,
"AUS","HHEXP","TOT","MLN_USD","A","1977",63721.537,
"AUS","HHEXP","TOT","MLN_USD","A","1978",69802.474,
"AUS","HHEXP","TOT","MLN_USD","A","1979",77065.764,
"AUS","HHEXP","TOT","MLN_USD","A","1980",86723.885,
"AUS","HHEXP","TOT","MLN_USD","A","1981",99854.6,
"AUS","HHEXP","TOT","MLN_USD","A","1982",107336.735,
"AUS","HHEXP","TOT","MLN_USD","A","1983",111497.744,
"AUS","HHEXP","TOT","MLN_USD","A","1984",116785.616,
"AUS","HHEXP","TOT","MLN_USD","A","1985",128800.896,
"AUS","HHEXP","TOT","MLN_USD","A","1986",136127.292,
"AUS","HHEXP","TOT","MLN_USD","A","1987",144241.948,
"AUS","HHEXP","TOT","MLN_USD","A","1988",153872.165,
"AUS","HHEXP","TOT","MLN_USD","A","1989",164961.742,
"AUS","HHEXP","TOT","MLN_USD","A","1990",173609.282,
"AUS","HHEXP","TOT","MLN_USD","A","1991",184623.141,
"AUS","HHEXP","TOT","MLN_USD","A","1992",194369.511,
"AUS","HHEXP","TOT","MLN_USD","A","1993",204652.069,
"AUS","HHEXP","TOT","MLN_USD","A","1994",220100.3,
"AUS","HHEXP","TOT","MLN_USD","A","1995",232043.078,
"AUS","HHEXP","TOT","MLN_USD","A","1996",241994.44,
"AUS","HHEXP","TOT","MLN_USD","A","1997",258839.457,
"AUS","HHEXP","TOT","MLN_USD","A","1998",277705.619,
"AUS","HHEXP","TOT","MLN_USD","A","1999",296001.388,
"AUS","HHEXP","TOT","MLN_USD","A","2000",315278.52,
"AUS","HHEXP","TOT","MLN_USD","A","2001",329344.079,
"AUS","HHEXP","TOT","MLN_USD","A","2002",350556.346,
"AUS","HHEXP","TOT","MLN_USD","A","2003",369120.792,
"AUS","HHEXP","TOT","MLN_USD","A","2004",388856.259,
"AUS","HHEXP","TOT","MLN_USD","A","2005",407168.685,
"AUS","HHEXP","TOT","MLN_USD","A","2006",439060.876,
"AUS","HHEXP","TOT","MLN_USD","A","2007",467124.022,
"AUS","HHEXP","TOT","MLN_USD","A","2008",466892.529,
"AUS","HHEXP","TOT","MLN_USD","A","2009",507135.109,
"AUS","HHEXP","TOT","MLN_USD","A","2010",515796.245,
"AUS","HHEXP","TOT","MLN_USD","A","2011",541015.232,
"AUS","HHEXP","TOT","MLN_USD","A","2012",554224.785,
"AUS","HHEXP","TOT","MLN_USD","A","2013",618420.09,
"AUS","HHEXP","TOT","MLN_USD","A","2014",639703.083,
"AUS","HHEXP","TOT","MLN_USD","A","2015",656213.282,
"AUS","HHEXP","TOT","MLN_USD","A","2016",689665.994,
"AUS","HHEXP","TOT","MLN_USD","A","2017",711303.784,
"AUS","HHEXP","TOT","MLN_USD","A","2018",744045.47,
"AUS","HHEXP","TOT","MLN_USD","A","2019",740054.266,
"AUT","HHEXP","TOT","MLN_USD","A","1970",15345.061,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1971",17008.026,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1972",18627.261,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1973",20422.009,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1974",23033.734,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1975",26333.184,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1976",29296.607,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1977",33181.544,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1978",34275.593,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1979",38854.618,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1980",43628.483,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1981",48569.917,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1982",52749.394,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1983",57651.314,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1984",58658.174,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1985",61896.348,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1986",63695.111,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1987",65990.624,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1988",69903.328,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1989",75036.472,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1990",81096.865,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1991",85889.722,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1992",90785.802,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1993",93247,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1994",96913.192,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1995",100147.725,
"AUT","HHEXP","TOT","MLN_USD","A","1996",105044.361,
"AUT","HHEXP","TOT","MLN_USD","A","1997",107446.658,
"AUT","HHEXP","TOT","MLN_USD","A","1998",111903.218,
"AUT","HHEXP","TOT","MLN_USD","A","1999",114549.447,
"AUT","HHEXP","TOT","MLN_USD","A","2000",122788.096,
"AUT","HHEXP","TOT","MLN_USD","A","2001",125174.991,
"AUT","HHEXP","TOT","MLN_USD","A","2002",130389.127,
"AUT","HHEXP","TOT","MLN_USD","A","2003",136338.284,
"AUT","HHEXP","TOT","MLN_USD","A","2004",143564.08,
"AUT","HHEXP","TOT","MLN_USD","A","2005",149903.894,
"AUT","HHEXP","TOT","MLN_USD","A","2006",160049.737,
"AUT","HHEXP","TOT","MLN_USD","A","2007",164134.625,
"AUT","HHEXP","TOT","MLN_USD","A","2008",171924.459,
"AUT","HHEXP","TOT","MLN_USD","A","2009",176036.372,
"AUT","HHEXP","TOT","MLN_USD","A","2010",181193.053,
"AUT","HHEXP","TOT","MLN_USD","A","2011",191942.49,
"AUT","HHEXP","TOT","MLN_USD","A","2012",201680.9,
