"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","2015",199.3722,
"AUS","HHDEBT","TOT","PC_NDI","A","2016",207.3164,
"AUS","HHDEBT","TOT","PC_NDI","A","2017",213.4635,
"AUS","HHDEBT","TOT","PC_NDI","A","2018",217.2554,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",92.05358,
"AUT","HHDEBT","TOT","PC_NDI","A","2016",92.00205,
"AUT","HHDEBT","TOT","PC_NDI","A","2017",90.54121,
"AUT","HHDEBT","TOT","PC_NDI","A","2018",90.09288,
"AUT","HHDEBT","TOT","PC_NDI","A","2019",89.78733,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",111.6695,
"BEL","HHDEBT","TOT","PC_NDI","A","2016",112.7116,
"BEL","HHDEBT","TOT","PC_NDI","A","2017",113.4674,
"BEL","HHDEBT","TOT","PC_NDI","A","2018",114.6156,
"CZE","HHDEBT","TOT","PC_NDI","A","2015",70.63539,
"CZE","HHDEBT","TOT","PC_NDI","A","2016",72.70351,
"CZE","HHDEBT","TOT","PC_NDI","A","2017",76.57607,
"CZE","HHDEBT","TOT","PC_NDI","A","2018",75.81116,
"CZE","HHDEBT","TOT","PC_NDI","A","2019",76.26929,
"DNK","HHDEBT","TOT","PC_NDI","A","2015",293.0566,
"DNK","HHDEBT","TOT","PC_NDI","A","2016",265.6999,
"DNK","HHDEBT","TOT","PC_NDI","A","2017",263.9423,
"DNK","HHDEBT","TOT","PC_NDI","A","2018",255.9448,
"DNK","HHDEBT","TOT","PC_NDI","A","2019",256.6714,
"FIN","HHDEBT","TOT","PC_NDI","A","2015",125.3838,
"FIN","HHDEBT","TOT","PC_NDI","A","2016",131.6723,
"FIN","HHDEBT","TOT","PC_NDI","A","2017",136.0278,
"FIN","HHDEBT","TOT","PC_NDI","A","2018",144.2993,
"FIN","HHDEBT","TOT","PC_NDI","A","2019",148.2469,
"FRA","HHDEBT","TOT","PC_NDI","A","2015",115.4928,
"FRA","HHDEBT","TOT","PC_NDI","A","2016",115.8367,
"FRA","HHDEBT","TOT","PC_NDI","A","2017",119.7405,
"FRA","HHDEBT","TOT","PC_NDI","A","2018",118.4489,
"FRA","HHDEBT","TOT","PC_NDI","A","2019",122.1306,
"DEU","HHDEBT","TOT","PC_NDI","A","2015",95.01755,
"DEU","HHDEBT","TOT","PC_NDI","A","2016",94.53259,
"DEU","HHDEBT","TOT","PC_NDI","A","2017",94.58971,
"DEU","HHDEBT","TOT","PC_NDI","A","2018",94.75552,
"DEU","HHDEBT","TOT","PC_NDI","A","2019",96.2133,
"GRC","HHDEBT","TOT","PC_NDI","A","2015",113.6181,
"GRC","HHDEBT","TOT","PC_NDI","A","2016",110.6726,
"GRC","HHDEBT","TOT","PC_NDI","A","2017",105.3411,
"GRC","HHDEBT","TOT","PC_NDI","A","2018",105.704,
"GRC","HHDEBT","TOT","PC_NDI","A","2019",97.82745,
"HUN","HHDEBT","TOT","PC_NDI","A","2015",48.3413,
"HUN","HHDEBT","TOT","PC_NDI","A","2016",45.64405,
"HUN","HHDEBT","TOT","PC_NDI","A","2017",42.56207,
"HUN","HHDEBT","TOT","PC_NDI","A","2018",40.26847,
"HUN","HHDEBT","TOT","PC_NDI","A","2019",42.2127,
"IRL","HHDEBT","TOT","PC_NDI","A","2015",180.1845,
"IRL","HHDEBT","TOT","PC_NDI","A","2016",163.4157,
"IRL","HHDEBT","TOT","PC_NDI","A","2017",152.5828,
