"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","HHWEALTH","TOT","PC_NDI","A","2014",352.3253,
"SVK","HHWEALTH","TOT","PC_NDI","A","2014",290.1777,
"EST","HHWEALTH","TOT","PC_NDI","A","2014",322.9397,
"CZE","HHWEALTH","TOT","PC_NDI","A","2014",358.3165,
"AUS","HHWEALTH","TOT","PC_NDI","A","2014",375.3933,
"SVN","HHWEALTH","TOT","PC_NDI","A","2014",326.1846,
"USA","HHWEALTH","TOT","PC_NDI","A","2014",595.1306,
"NLD","HHWEALTH","TOT","PC_NDI","A","2014",655.9953,
"GBR","HHWEALTH","TOT","PC_NDI","A","2014",461.1176,
"JPN","HHWEALTH","TOT","PC_NDI","A","2014",606.908,
"CAN","HHWEALTH","TOT","PC_NDI","A","2014",537.3673,
"LUX","HHWEALTH","TOT","PC_NDI","A","2014",417.1946,
"FRA","HHWEALTH","TOT","PC_NDI","A","2014",519.5696,
"FIN","HHWEALTH","TOT","PC_NDI","A","2014",359.2961,
"ITA","HHWEALTH","TOT","PC_NDI","A","2014",558.6085,
"POL","HHWEALTH","TOT","PC_NDI","A","2014",159.4591,
"BEL","HHWEALTH","TOT","PC_NDI","A","2014",661.3834,
"DEU","HHWEALTH","TOT","PC_NDI","A","2014",460.5945,
"SWE","HHWEALTH","TOT","PC_NDI","A","2014",526.0648,
"DNK","HHWEALTH","TOT","PC_NDI","A","2014",552.8384,
"CHL","HHWEALTH","TOT","PC_NDI","A","2014",299.2905,
"NOR","HHWEALTH","TOT","PC_NDI","A","2014",317.6843,
"KOR","HHWEALTH","TOT","PC_NDI","A","2014",335.4108,
"AUT","HHWEALTH","TOT","PC_NDI","A","2014",432.6374,
"PRT","HHWEALTH","TOT","PC_NDI","A","2014",394.3596,
"LVA","HHWEALTH","TOT","PC_NDI","A","2014",357.3547,
"LTU","HHWEALTH","TOT","PC_NDI","A","2014",213.2838,
"ESP","HHWEALTH","TOT","PC_NDI","A","2014",370.8697,
