"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1970-Q1",2.45868279283252,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1970-Q2",2.51966057942538,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1970-Q3",2.58314134731004,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1970-Q4",2.64803411200202,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1971-Q1",2.72939119991004,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1971-Q2",2.80623475666702,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1971-Q3",2.88844305440051,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1971-Q4",2.98133946305658,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1972-Q1",3.05149571941085,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1972-Q2",3.11686460586129,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1972-Q3",3.20503840333958,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1972-Q4",3.36126998075127,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1973-Q1",3.45943924237062,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1973-Q2",3.67128616566954,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1973-Q3",3.98029005306106,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1973-Q4",4.23771685486172,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1974-Q1",4.51115829578221,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1974-Q2",4.66311682369206,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1974-Q3",4.74275237519634,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1974-Q4",4.84376913773012,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1975-Q1",4.92747539894882,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1975-Q2",5.12047844197758,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1975-Q3",5.30496081134723,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1975-Q4",5.45512056998979,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1976-Q1",5.63682898796754,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1976-Q2",5.74918508802067,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1976-Q3",5.79823909699744,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1976-Q4",5.99111006035679,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1977-Q1",6.10555531787107,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1977-Q2",6.21824873431597,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1977-Q3",6.30642283841051,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1977-Q4",6.44122159481098,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1978-Q1",6.55918750417947,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1978-Q2",6.49066293097643,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1978-Q3",6.60257080184846,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1978-Q4",6.70827630608101,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1979-Q1",7.00412967991649,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1979-Q2",7.37536933890143,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1979-Q3",7.63813832888042,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1979-Q4",7.82403265111446,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1980-Q1",7.91915711633409,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1980-Q2",8.22694911675695,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1980-Q3",8.62558876104292,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1980-Q4",8.96661913934691,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1981-Q1",9.45017269006684,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1981-Q2",9.63362500017044,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1981-Q3",9.62225311864535,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1981-Q4",10.1247971024217,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1982-Q1",9.91350369673272,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1982-Q2",10.1083453930284,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1982-Q3",10.1081592463772,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1982-Q4",10.0901165769729,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1983-Q1",10.2449893863769,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1983-Q2",10.520502778825,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1983-Q3",10.625245617293,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1983-Q4",11.1278070024057,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1984-Q1",11.3696311461887,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1984-Q2",11.5856279784066,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1984-Q3",12.2482581912065,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1984-Q4",12.211951045068,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1985-Q1",12.7135215086959,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1985-Q2",12.8276121142984,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1985-Q3",13.2768309651028,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1985-Q4",13.4299648958579,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1986-Q1",13.6110837691265,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1986-Q2",14.0169026911582,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1986-Q3",14.1089018726205,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1986-Q4",14.1441231868645,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1987-Q1",14.3037181918234,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1987-Q2",14.5639062215161,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1987-Q3",14.8304080704282,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1987-Q4",15.4176963595143,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1988-Q1",16.0864760626334,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1988-Q2",17.0572782926746,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1988-Q3",18.7835435143304,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1988-Q4",20.5080573280191,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1989-Q1",22.1855849227034,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1989-Q2",22.7055648418505,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1989-Q3",22.7781933950586,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1989-Q4",22.6810676749411,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1990-Q1",22.8172414451791,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1990-Q2",23.079312830257,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1990-Q3",22.9223759113436,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1990-Q4",22.9156460943329,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1991-Q1",22.950880362948,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1991-Q2",23.2361566007139,
