"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PLI","TOT","OECDIDX","A","2016",125,
"AUT","PLI","TOT","OECDIDX","A","2016",100,
"BEL","PLI","TOT","OECDIDX","A","2016",100,
"CAN","PLI","TOT","OECDIDX","A","2016",105,
"CZE","PLI","TOT","OECDIDX","A","2016",60,
"DNK","PLI","TOT","OECDIDX","A","2016",122,
"FIN","PLI","TOT","OECDIDX","A","2016",113,
"FRA","PLI","TOT","OECDIDX","A","2016",100,
"DEU","PLI","TOT","OECDIDX","A","2016",96,
"GRC","PLI","TOT","OECDIDX","A","2016",75,
"HUN","PLI","TOT","OECDIDX","A","2016",54,
"ISL","PLI","TOT","OECDIDX","A","2016",134,
"IRL","PLI","TOT","OECDIDX","A","2016",102,
"ITA","PLI","TOT","OECDIDX","A","2016",90,
"JPN","PLI","TOT","OECDIDX","A","2016",112,
"KOR","PLI","TOT","OECDIDX","A","2016",86,
"LUX","PLI","TOT","OECDIDX","A","2016",109,
"MEX","PLI","TOT","OECDIDX","A","2016",52,
"NLD","PLI","TOT","OECDIDX","A","2016",102,
"NZL","PLI","TOT","OECDIDX","A","2016",116,
"NOR","PLI","TOT","OECDIDX","A","2016",138,
"POL","PLI","TOT","OECDIDX","A","2016",51,
"PRT","PLI","TOT","OECDIDX","A","2016",73,
"SVK","PLI","TOT","OECDIDX","A","2016",64,
"ESP","PLI","TOT","OECDIDX","A","2016",82,
"SWE","PLI","TOT","OECDIDX","A","2016",119,
"CHE","PLI","TOT","OECDIDX","A","2016",141,
"TUR","PLI","TOT","OECDIDX","A","2016",48,
"GBR","PLI","TOT","OECDIDX","A","2016",108,
"USA","PLI","TOT","OECDIDX","A","2016",116,
"BRA","PLI","TOT","OECDIDX","A","2016",71,
"CHL","PLI","TOT","OECDIDX","A","2016",70,
"CHN","PLI","TOT","OECDIDX","A","2016",69,
"EST","PLI","TOT","OECDIDX","A","2016",68,
"IND","PLI","TOT","OECDIDX","A","2016",34,
"IDN","PLI","TOT","OECDIDX","A","2016",39,
"ISR","PLI","TOT","OECDIDX","A","2016",114,
"RUS","PLI","TOT","OECDIDX","A","2016",42,
"SVN","PLI","TOT","OECDIDX","A","2016",74,
"ZAF","PLI","TOT","OECDIDX","A","2016",48,
"EU28","PLI","TOT","OECDIDX","A","2016",92,
"OECD","PLI","TOT","OECDIDX","A","2016",100,
"EA18","PLI","TOT","OECDIDX","A","2016",93,
"COL","PLI","TOT","OECDIDX","A","2016",49,
"LTU","PLI","TOT","OECDIDX","A","2016",56,
"LVA","PLI","TOT","OECDIDX","A","2016",62,
